Date / Time;Mode;Category;Sub category;Income/Expense;Debit/Credit
Kamis, 23 Desember 2021;CUB - online payment;Food;Puffs and coffee;Expense;32
Kamis, 23 Desember 2021;CUB - online payment;Food;Lemon tea with company;Expense;15
Jumat, 24 Desember 2021;CUB - online payment;Food;Lunch with company;Expense;262
Sabtu, 25 Desember 2021;CUB - online payment;Food;Milk with bharath;Expense;40
Sabtu, 25 Desember 2021;CUB - online payment;Food;Water;Expense;30
Sabtu, 25 Desember 2021;CUB - online payment;Food;Corn;Expense;300
Sabtu, 25 Desember 2021;CUB - online payment;Apparel;Books;Expense;400
Sabtu, 25 Desember 2021;CUB - online payment;Food;Dinner with barath;Expense;504
Senin, 27 Desember 2021;CUB - online payment;Food;Coconut water with stu;Expense;50
Senin, 27 Desember 2021;CUB - online payment;Other;From vicky;Income;80
Senin, 27 Desember 2021;CUB - online payment;Food;Lunch with barath;Expense;115
Selasa, 28 Desember 2021;CUB - online payment;Food;Coffee and thattai;Expense;14
Kamis, 30 Desember 2021;CUB - online payment;Food;Water;Expense;20
Kamis, 30 Desember 2021;CUB - online payment;Other;From Deepak;Income;250
Kamis, 30 Desember 2021;CUB - online payment;Food;Horlicks + kolakattai;Expense;25
Kamis, 30 Desember 2021;CUB - online payment;Salary;office;Income;55530
Kamis, 30 Desember 2021;CUB - online payment;Transportation;Pg to office;Expense;43
Kamis, 30 Desember 2021;CUB - online payment;Food;To barath;Expense;20
